,0
151,V1[i+1] & V1[i] & ~V0[i+1] & ~V0[i-1] & ~V0[i] & ~V1[i-1]
152,V0[i+1] & V0[i-1] & V0[i] & ~V1[i-1] & ~V1[i]
153,DL[i+1] & V0[i-1] & V1[i-1] & ~V1[i+1] & ~V1[i]
154,V0[i+1] & V1[i+1] & V1[i] & ~DL[i+1] & ~DL[i] & ~V0[i-1] & ~V1[i-1]
155,V0[i-1] & V0[i] & V1[i+1] & ~DL[i+1] & ~V0[i+1] & ~V1[i-1] & ~V1[i]
156,DL[i+1] & V1[i+1] & V1[i] & ~V0[i-1] & ~V0[i] & ~V1[i-1]
157,V1[i-1] & ~DL[i+1] & ~V0[i+1] & ~V0[i-1] & ~V0[i] & ~V1[i]
158,DL[i+1] & V1[i-1] & ~V0[i-1] & ~V0[i] & ~V1[i]
159,DL[i+1] & V0[i] & V1[i] & ~V0[i-1] & ~V1[i+1] & ~V1[i-1]
160,DL[i-1] & DL[i] & V1[i] & ~V0[i+1] & ~V0[i-1] & ~V0[i] & ~V1[i-1]
161,V0[i+1] & V0[i] & V1[i-1] & ~V0[i-1] & ~V1[i]
162,V0[i-1] & V0[i] & V1[i-1] & ~V1[i+1] & ~V1[i]
163,V0[i] & V1[i+1] & V1[i-1] & ~DL[i+1] & ~V0[i+1] & ~V0[i-1] & ~V1[i]
164,DL[i+1] & V0[i+1] & V1[i] & ~V0[i-1] & ~V0[i] & ~V1[i+1] & ~V1[i-1]
165,V0[i-1] & ~V0[i+1] & ~V0[i] & ~V1[i-1] & ~V1[i]
166,~V0[i+1] & ~V0[i-1] & ~V0[i] & ~V1[i-1] & ~V1[i]
167,DL[i+1] & DL[i] & V0[i+1] & ~DL[i-1] & ~V0[i-1] & ~V0[i] & ~V1[i+1]
168,DL[i+1] & V0[i+1] & ~V0[i-1] & ~V1[i-1] & ~V1[i]
169,V0[i-1] & ~V0[i] & ~V1[i+1] & ~V1[i-1] & ~V1[i]
170,~V0[i-1] & ~V0[i] & ~V1[i+1] & ~V1[i-1] & ~V1[i]
171,DL[i+1] & V0[i] & ~V0[i-1] & ~V1[i+1] & ~V1[i-1]
172,V1[i-1] & ~V0[i+1] & ~V0[i-1] & ~V0[i] & ~V1[i]
173,V0[i] & V1[i] & ~DL[i+1] & ~V0[i+1] & ~V0[i-1] & ~V1[i-1]
174,V0[i+1] & V0[i] & ~V0[i-1] & ~V1[i-1] & ~V1[i]
175,V1[i-1] & ~V0[i-1] & ~V0[i] & ~V1[i+1] & ~V1[i]
176,V0[i] & V1[i] & ~DL[i+1] & ~V0[i-1] & ~V1[i+1] & ~V1[i-1]
177,DL[i+1] & ~V0[i-1] & ~V1[i+1] & ~V1[i-1] & ~V1[i]
178,V0[i] & ~V0[i-1] & ~V1[i+1] & ~V1[i-1] & ~V1[i]
